PDB Code,Max Similarity
3fvn,0.3023255813953488
3n9s,0.3902439024390244
4wk1,1.0
5cs3,0.5666666666666667
3rm4,0.2916666666666667
5ucj,0.3220338983050847
5tbe,0.2727272727272727
2rka,0.5652173913043478
6cdo,0.7142857142857143
1vzq,0.30434782608695654
4des,0.5217391304347826
1qan,0.6666666666666666
3gcp,1.0
1lpg,0.37349397590361444
6cdp,0.7142857142857143
6gjl,0.2727272727272727
1nhz,0.6666666666666666
5tkk,0.7142857142857143
1lpk,0.38
6gon,0.4782608695652174
1c5c,0.5142857142857142
4gii,0.345679012345679
6fng,0.37037037037037035
6i61,0.48148148148148145
1om1,0.41304347826086957
3pd9,0.3076923076923077
2uy5,0.4807692307692308
5nkh,0.2727272727272727
4uof,0.7213114754098361
3neo,0.35185185185185186
6gjm,0.3157894736842105
5t9u,0.2517482517482518
3tza,0.32727272727272727
3fvk,0.27906976744186046
4det,0.5348837209302325
4mgd,0.36666666666666664
5am6,0.44
1gaf,0.4186046511627907
6hk3,0.4430379746835443
5mg2,0.6037735849056604
5ia2,0.25510204081632654
5l4j,0.4166666666666667
6q60,0.4318181818181818
3g0w,0.4142857142857143
4xy8,0.32
4dew,0.5106382978723404
2iuz,0.4222222222222222
1tpw,0.5
5nkd,0.30612244897959184
3gkz,0.5833333333333334
3n3g,0.35294117647058826
5cj6,0.3333333333333333
2oxy,0.39285714285714285
4jal,0.6666666666666666
6bbx,0.23376623376623376
1dl7,0.41304347826086957
1a28,0.6153846153846154
2pbw,0.26785714285714285
5orh,0.41025641025641024
2cn0,0.3235294117647059
1oau,0.42
2weq,0.20652173913043478
5ivc,0.47058823529411764
2r0z,0.7
2nmx,0.4888888888888889
5nkc,0.3
4pmm,0.25961538461538464
3isj,0.4461538461538462
1zoh,0.21052631578947367
4fys,0.7731958762886598
4qnb,0.43283582089552236
3nee,0.43859649122807015
1efy,0.4067796610169492
5nkg,0.2891566265060241
4i3z,0.9230769230769231
2rk8,0.4117647058823529
3be9,0.30952380952380953
6jof,0.3157894736842105
4hzm,0.3114754098360656
3fv1,0.2708333333333333
2p7a,0.38461538461538464
5ihh,0.3888888888888889
5nk2,0.27380952380952384
6c9s,0.5409836065573771
4gg7,0.375
1yei,0.3673469387755102
4x48,0.2823529411764706
6qav,0.29473684210526313
2fxs,0.5964912280701754
4wt2,0.28688524590163933
5i9x,0.31868131868131866
5nk8,0.27380952380952384
6nwk,0.7692307692307693
4ivd,0.30952380952380953
2pvk,0.30434782608695654
3zcl,0.3220338983050847
2wer,0.29577464788732394
3qqs,0.65625
3ml5,0.3448275862068966
4bcm,0.33766233766233766
3hvi,0.41304347826086957
4lj5,0.9230769230769231
1azm,0.3448275862068966
3qxt,0.7164179104477612
1mfd,0.74
5nk9,0.2875
4bco,0.3
5umx,0.6415094339622641
3sr4,0.7066666666666667
1kel,0.391304347826087
5tp0,0.40625
2hhn,0.3564356435643564
5otz,0.35135135135135137
3arx,0.41818181818181815
3bqc,0.3939393939393939
4i5c,0.2857142857142857
5otr,0.3793103448275862
5ia5,0.3246753246753247
1e3g,0.35526315789473684
5dyo,0.475
5mo8,0.44776119402985076
3ubd,0.2926829268292683
3kdm,0.5882352941176471
3fv2,0.3023255813953488
4gqp,0.5833333333333334
4j7d,0.2361111111111111
2nn7,0.5227272727272727
5uc4,0.5454545454545454
3s2v,0.2857142857142857
3qlm,1.0
5umy,0.24285714285714285
2xn5,0.56
6qe0,0.7142857142857143
5fhm,0.3709677419354839
5ouh,0.4
6h37,0.3333333333333333
5fto,0.2982456140350877
5wp5,0.6666666666666666
3r7o,0.3684210526315789
1utl,0.5652173913043478
4rww,1.0
2vw5,0.25196850393700787
4gfo,0.3333333333333333
1i37,0.5882352941176471
3twp,0.7
5f1h,0.375
1mrs,0.7924528301886793
2isw,0.5
6hk4,0.48
1yej,0.33962264150943394
6gl9,0.24175824175824176
3ozt,0.27419354838709675
1egh,0.5652173913043478
6mqc,0.7142857142857143
3hek,0.3170731707317073
3lpi,0.39622641509433965
1s89,0.5652173913043478
2oxx,0.3076923076923077
6pid,0.52
3ldp,0.49382716049382713
2w4x,0.48
4o2p,0.2682926829268293
4del,0.5
4bck,0.345679012345679
6ex1,0.34375
4qdk,0.6666666666666666
2wq5,0.48
6bdy,0.746268656716418
1f4x,0.35384615384615387
5h8g,0.6309523809523809
3qox,0.6666666666666666
5vja,0.3023255813953488
6cjr,0.25
3fl5,0.5
4ase,0.39325842696629215
1utm,0.5238095238095238
5hcv,0.47619047619047616
3hzm,0.5306122448979592
3o8p,0.7021276595744681
4isu,0.25
5zhl,0.3103448275862069
6g3v,0.29310344827586204
6bhv,0.7424242424242424
4bcp,0.30612244897959184
4yb5,0.6052631578947368
6glb,0.2727272727272727
5ivv,0.3469387755102041
4gj2,0.29850746268656714
4pfu,1.0
6bm6,0.6666666666666666
4unp,0.32558139534883723
5aqz,0.6792452830188679
3c52,0.5
4k3n,0.5142857142857142
2cf9,0.30985915492957744
4qjx,0.2962962962962963
5ia0,0.38271604938271603
4eor,0.7966101694915254
5ivy,0.4423076923076923
4j7e,0.2857142857142857
1mfa,0.74
2f1g,0.3246753246753247
5ia3,0.3333333333333333
3nyx,0.3448275862068966
4e4l,0.2777777777777778
4yhm,0.30434782608695654
5nk3,0.3037974683544304
5nki,0.41304347826086957
2pvl,0.3010752688172043
3ujc,0.5483870967741935
4gkm,0.5897435897435898
6nfh,0.3956043956043956
3d2e,0.9423076923076923
4ei4,0.2545454545454545
1m7i,0.7321428571428571
2r1y,0.3548387096774194
5i8g,0.6923076923076923
5nk4,0.27058823529411763
5ive,0.23809523809523808
6g5u,0.4262295081967213
1aj7,0.4186046511627907
3n9r,0.42424242424242425
6orr,0.6046511627906976
3hub,0.2682926829268293
4yho,0.30434782608695654
2f34,0.37254901960784315
3rm9,0.34146341463414637
3gcu,0.49230769230769234
5cbs,0.8235294117647058
5exw,0.6721311475409836
6dq4,0.3389830508474576
4ivb,0.26506024096385544
2bmk,0.639344262295082
4fs4,0.35185185185185186
3ai8,0.5405405405405406
4p5z,0.373134328358209
4gu9,0.3090909090909091
1m2p,0.5757575757575758
4a7i,0.32558139534883723
2f35,0.375
5ork,0.36363636363636365
2qu6,0.31683168316831684
2c1p,0.3
3ozr,0.32
2a14,0.6666666666666666
3d0e,0.24489795918367346
1mmr,0.3225806451612903
4kao,0.5932203389830508
1j17,0.3333333333333333
6f3b,0.38461538461538464
1ogg,0.6716417910447762
1bm7,0.75
4asd,0.5205479452054794
6fnj,0.37037037037037035
2p15,0.5873015873015873
1m2q,0.3392857142857143
6nwl,0.6229508196721312
3mdz,0.4222222222222222
5x62,0.6666666666666666
5oqu,0.4166666666666667
4p6x,0.6229508196721312
4uyf,0.3684210526315789
1nw5,0.703125
4v01,0.4791666666666667
3oe4,0.4189189189189189
2wlz,0.6296296296296297
3a9i,0.8636363636363636
4mr6,0.7413793103448276
2pog,0.6136363636363636
4k9y,0.5245901639344263
4bup,0.703125
5l4m,0.32
3iw5,0.3170731707317073
5mkr,0.4878048780487805
3str,0.29591836734693877
5l7g,0.26666666666666666
3arq,0.8285714285714286
4m0r,0.6111111111111112
6fyz,0.29508196721311475
3p2e,0.6666666666666666
2xb7,0.4772727272727273
1zea,0.7079646017699115
2bvs,0.32954545454545453
6i8t,0.26153846153846155
4g8n,0.35135135135135137
1w9v,0.3237410071942446
1zog,0.34375
5aa9,0.32653061224489793
1jgl,0.75
2p2a,0.3559322033898305
3gba,0.2708333333333333
5cqu,0.2602739726027397
5mlj,0.23809523809523808
1w9u,0.34328358208955223
1mmq,0.3614457831325301
3pwd,0.37735849056603776
4p58,0.24390243902439024
5u4d,0.5405405405405406
1pz5,0.6346153846153846
3u6h,0.40425531914893614
4cd0,0.26262626262626265
4lj8,0.9230769230769231
3ipq,0.3855421686746988
5l7h,0.2702702702702703
5orj,0.34285714285714286
4azc,0.41935483870967744
5nkb,0.34831460674157305
3h78,0.6666666666666666
5tkj,0.7142857142857143
2pvm,0.2631578947368421
2oxd,0.3333333333333333
1n0s,0.475
4tmk,0.7586206896551724
3kmx,0.37777777777777777
4ymg,0.703125
6hoq,0.5789473684210527
4bcn,0.31645569620253167
1r0p,0.23255813953488372
6bm5,0.703125
3v5p,0.34831460674157305
5twj,0.703125
4rwj,0.5211267605633803
3h89,0.3217391304347826
6gjj,0.32727272727272727
1w7g,0.41935483870967744
5cs6,0.37142857142857144
2ihq,0.2676056338028169
6qe5,0.6666666666666666
5nk6,0.2987012987012987
5mks,0.52
4owv,0.6666666666666666
6h36,0.43636363636363634
5nka,0.2911392405063291
4jne,0.9423076923076923
6gla,0.23076923076923078
4hbm,0.6307692307692307
5lwm,0.2549019607843137
3e5a,0.2978723404255319
5mwp,0.7575757575757576
6fs0,0.28125
6idb,0.9285714285714286
2e27,0.2077922077922078
6q54,0.391304347826087
4flp,0.819672131147541
6faf,0.3380281690140845
4d3h,1.0
1mh5,0.38461538461538464
1utj,0.5909090909090909
1oar,0.4722222222222222
5h8e,0.6071428571428571
6gji,0.26865671641791045
4deu,0.7380952380952381
3q6w,0.4105263157894737
6ftw,0.23404255319148937
3ifl,0.693069306930693
2o0u,0.38095238095238093
2uy4,0.3448275862068966
2ccb,0.6415094339622641
5t9w,0.31868131868131866
4ehz,0.32432432432432434
5csp,0.5666666666666667
6pve,0.7125
2xj7,0.5294117647058824
6sbt,0.35365853658536583
5j8u,0.28846153846153844
3uyr,0.693069306930693
1mjj,0.38461538461538464
6d3q,0.3333333333333333
3uj9,0.5483870967741935
1pme,0.6326530612244898
3iw6,0.43548387096774194
6gjn,0.2636363636363636
4jn2,0.30434782608695654
1amw,0.9230769230769231
5t9z,0.2734375
